event_id,date,lat,lon,trigger,acc_km,admin_division_name,fatality_count
1055,2009-07-22,26.8826,88.2788,downpour,10.0,Bengal,0.0
1054,2009-07-22,26.8572,88.3143,downpour,10.0,Bengal,0.0
1061,2009-07-01,27.478,88.527,downpour,1.0,,0.0
4569,2012-09-19,27.8385,88.556,downpour,10.0,,20.0
4571,2012-09-19,27.6558,88.605,downpour,10.0,,
7370,2015-08-01,24.1419,94.1078,continuous_rain,5.0,Manipur,0.0
5084,2013-07-12,25.616,94.1167,downpour,10.0,Nāgāland,0.0
3986,2011-09-25,27.0605,88.255,downpour,1.0,Bengal,0.0
2566,2010-10-08,25.4769,94.1351,downpour,5.0,Nāgāland,0.0
1050,2009-07-03,26.87324244,88.29184021,rain,10.0,Bengal,0.0
2578,2010-10-09,25.3179,94.0462,downpour,5.0,Nāgāland,0.0
3621,2011-06-17,26.88,88.28,downpour,5.0,Bengal,4.0
1993,2010-06-16,26.8073,88.3162,downpour,10.0,Bengal,0.0
2025,2010-06-28,25.5728,91.885,downpour,5.0,Meghālaya,1.0
9405,2016-04-19,26.7223,95.0243,continuous_rain,1.0,Nagaland,0.0
5343,2013-08-17,24.7625,93.4341,continuous_rain,10.0,Assam,
6971,2015-06-09,27.0987,93.816,continuous_rain,5.0,Arunachal Pradesh,2.0
57,2007-04-11,27.4459,88.6193,downpour,5.0,,
4382,2012-06-03,25.1175,92.8573,downpour,5.0,Assam,
5431,2013-09-01,24.9829,93.5063,continuous_rain,5.0,Assam,0.0
1108,2009-08-20,24.9925,93.5,downpour,10.0,Assam,0.0
9168,2016-06-12,27.6438,93.871,downpour,10.0,Arunachal Pradesh,0.0
7021,2015-06-27,27.0076,88.251,downpour,1.0,West Bengal,1.0
7335,2015-08-18,25.5145,90.2023,continuous_rain,1.0,Meghalaya,0.0
1094,2009-08-16,27.15977181,88.63411246,downpour,0.0,Bengal,1.0
7385,2015-08-01,24.004,93.9815,continuous_rain,10.0,Manipur,0.0
3643,2011-06-23,27.2879,88.2579,downpour,5.0,,16.0
6015,2014-05-08,27.9032,96.174,rain,1.0,Arunachal Pradesh,0.0
3741,2011-07-07,25.4191,94.1079,rain,5.0,Nāgāland,0.0
2392,2010-09-04,27.3702,88.7334,downpour,10.0,Sikkim,0.0
1037,2009-06-17,26.89,88.47,downpour,5.0,Bengal,0.0
3830,2011-07-22,24.3527,94.3429,downpour,10.0,Manipur,0.0
218,2007-08-29,27.0096,88.2548,rain,10.0,Bengal,
2261,2010-08-17,26.9435,88.4445,downpour,10.0,Bengal,0.0
9603,2016-10-12,26.8861,88.1704,downpour,10.0,West Bengal,0.0
3269,2011-03-22,28.0791,96.5242,downpour,10.0,Arunāchal Pradesh,0.0
1755,2010-04-17,27.3341,88.6083,downpour,5.0,Sikkim,0.0
6990,2015-06-24,26.0319,94.5466,continuous_rain,5.0,Nagaland,0.0
1995,2010-06-16,27.0765,88.4808,rain,10.0,Bengal,3.0
4435,2012-06-25,27.174,95.8011,downpour,10.0,Arunāchal Pradesh,
2344,2010-08-27,24.7505,93.4221,downpour,5.0,Assam,0.0
7263,2015-07-22,25.4477,94.0489,continuous_rain,1.0,Manipur,0.0
5271,2013-08-04,26.284,94.5808,continuous_rain,5.0,Nāgāland,
4424,2012-06-20,26.149,91.7351,downpour,1.0,Assam,
7369,2015-08-01,24.1988,94.1016,continuous_rain,10.0,Manipur,0.0
4377,2012-06-02,26.1475,91.7356,downpour,5.0,Assam,
7264,2015-07-22,25.4538,93.9827,continuous_rain,5.0,Manipur,0.0
9220,2016-07-26,27.1027,88.1218,downpour,1.0,West Bengal,0.0
5006,2013-07-01,26.1147,94.3864,downpour,1.0,Nāgāland,0.0
256,2007-09-10,27.3425,88.6236,rain,10.0,Sikkim,
9335,2016-05-18,24.5202,92.7239,continuous_rain,1.0,Assam,2.0
1963,2010-06-11,26.944,88.4441,downpour,10.0,Bengal,0.0
6288,2014-09-22,26.1985,91.7998,rain,5.0,Assam,0.0
5087,2013-07-12,25.6269,94.1139,downpour,10.0,Nāgāland,0.0
